iter	Passed	Remaining
0	169	169746
1	274	136915
2	379	126268
3	503	125325
4	619	123377
5	738	122389
6	830	117827
7	942	116890
8	1073	118249
9	1194	118215
10	1295	116460
11	1408	115993
12	1522	115612
13	1639	115478
14	1753	115123
15	1867	114841
16	1978	114388
17	2103	114756
18	2216	114441
19	2322	113797
20	2435	113521
21	2548	113288
22	2656	112848
23	2766	112497
24	2887	112614
25	3004	112556
26	3118	112369
27	3227	112040
28	3336	111711
29	3446	111444
30	3558	111245
31	3666	110916
32	3782	110827
33	3895	110683
34	4004	110417
35	4105	109945
36	4209	109564
37	4318	109332
38	4429	109136
39	4520	108485
40	4631	108339
41	4759	108556
42	4860	108166
43	4982	108261
44	5107	108384
45	5210	108069
46	5391	109325
47	5496	109023
48	5598	108655
49	5702	108340
50	5817	108256
51	5930	108119
52	6055	108207
53	6142	107615
54	6253	107448
55	6365	107301
56	6463	106924
57	6562	106577
58	6668	106356
59	6775	106152
60	6880	105920
61	6994	105824
62	7111	105768
63	7214	105511
64	7318	105279
65	7417	104965
66	7525	104800
67	7641	104735
68	7743	104478
69	7848	104275
70	7957	104114
71	8082	104174
72	8186	103951
73	8271	103504
74	8385	103416
75	8490	103230
76	8598	103069
77	8704	102886
78	8841	103080
79	8971	103175
80	9120	103482
81	9257	103635
82	9365	103466
83	9468	103246
84	9599	103339
85	9733	103451
86	9858	103453
87	9974	103367
88	10121	103601
89	10272	103871
90	10390	103787
91	10502	103650
92	10639	103765
93	10764	103754
94	10878	103635
95	10951	103123
96	11063	102992
97	11176	102870
98	11229	102195
99	11341	102069
100	11486	102240
101	11615	102264
102	11732	102174
103	11851	102101
104	11958	101933
105	12036	101515
106	12202	101840
107	12333	101869
108	12390	101281
109	12495	101096
110	12620	101074
111	12749	101083
112	12866	100993
113	12928	100478
114	13032	100294
115	13138	100123
116	13246	99974
117	13363	99884
118	13471	99732
119	13575	99556
120	13633	99040
121	13758	99015
122	13891	99045
123	14041	99199
124	14193	99356
125	14307	99243
126	14392	98932
127	14450	98441
128	14571	98387
129	14714	98470
130	14815	98282
131	14920	98114
132	15052	98124
133	15119	97714
134	15201	97405
135	15315	97297
136	15422	97152
137	15557	97179
138	15624	96781
139	15721	96576
140	15806	96294
141	15901	96078
142	16030	96073
143	16138	95933
144	16258	95867
145	16407	95972
146	16483	95651
147	16610	95622
148	16686	95306
149	16812	95270
150	16954	95327
151	17054	95143
152	17213	95291
153	17370	95423
154	17515	95490
155	17610	95275
156	17753	95328
157	17827	95002
158	17960	94996
159	18014	94575
160	18102	94337
161	18248	94395
162	18312	94034
163	18447	94036
164	18527	93761
165	18631	93606
166	18766	93607
167	18839	93301
168	18945	93156
169	19041	92965
170	19172	92947
171	19262	92730
172	19316	92340
173	19376	91981
174	19438	91639
175	19554	91550
176	19707	91632
177	19781	91351
178	19838	90993
179	19900	90657
180	20003	90513
181	20106	90368
182	20219	90267
183	20288	89974
184	20370	89738
185	20468	89577
186	20540	89303
187	20609	89014
188	20705	88847
189	20846	88873
190	21003	88963
191	21082	88723
192	21220	88729
193	21288	88444
194	21405	88367
195	22570	92586
196	22668	92399
197	22781	92276
198	22907	92205
199	22978	91913
200	23030	91549
201	23104	91272
202	23179	91007
203	23297	90905
204	23419	90823
205	23502	90589
206	23582	90343
207	23639	90013
208	23682	89630
209	23770	89422
